[27: INFO: LoRa RPL  ] Button pushed
[47: ERR : LoRa MAC  ] STOP retransmit timer thanks to retransmit_timeout
[47: DBG : LoRa MAC  ] retransmit frame: {src:2:24859 dest:1:0 k:0 seq:1 next:0 cmd:6 data: ---- retransmit la query
[47: ERR : LoRa MAC  ] RESTART retransmit timer because retransmit frame
[47: DBG : LoRa MAC  ] drop frame -------------------------------------------------------------- pk ? 
[47: INFO: LoRa PHY  ] Write UART:radio set wdt 0
[47: INFO: LoRa PHY  ] UART response:ok
[47: INFO: LoRa PHY  ] Write UART:radio tx 02611B01000046
[47: INFO: LoRa PHY  ] UART response:ok
[48: INFO: LoRa PHY  ] UART response:radio_tx_ok
[48: INFO: LoRa PHY  ] Write UART:radio set wdt 3000
[48: INFO: LoRa PHY  ] UART response:ok
[48: INFO: LoRa PHY  ] Write UART:radio rx 0
[48: INFO: LoRa PHY  ] UART response:ok
[49: INFO: LoRa PHY  ] UART response:radio_rx  01000002611B43
[49: INFO: LoRa MAC  ] RX LoRa frame: {src:1:0 dest:2:24859 k:0 seq:1 next:0 cmd:3 data:
[49: INFO: LoRa MAC  ] ACK! -------------------------------------------------------------------- GOOOOD
[49: DBG : LoRa MAC  ] STOP retransmit timer thanks to ACK
[49: DBG : LoRa MAC  ] state is READY
[49: WARN: LoRa MAC  ] buf not empty: 0
[59: INFO: LoRa MAC  ] query timeout ! --------------------------------------------------------- le timer de query devrai etre restart quand le ack a été reçu
[59: ERR : LoRa MAC  ] STOP query timer thanks to query_timeout
[59: DBG : LoRa MAC  ] query frame built
[59: DBG : LoRa MAC  ] MAC_SEND frame: {src:2:24859 dest:1:0 k:0 seq:0 next:0 cmd:6 data:
[59: DBG : LoRa MAC  ] append to buffer
[59: DBG : LoRa MAC  ] post new_tx_frame_event to TX_PROCESS
[59: DBG : LoRa MAC  ] frame from buffer: {src:2:24859 dest:1:0 k:0 seq:0 next:0 cmd:6 data:
[59: DBG : LoRa MAC  ] buffer size: 0
[59: DBG : LoRa MAC  ] frame sended to PHY layer
[59: DBG : LoRa MAC  ] START retransmit timer in mac_tx process
[59: DBG : LoRa MAC  ] Listen during 3 s
[59: DBG : LoRa MAC  ] wait state change to READY
[59: INFO: LoRa PHY  ] Write UART:radio set wdt 0
[59: INFO: LoRa PHY  ] UART response:ok
[59: INFO: LoRa PHY  ] Write UART:radio tx 02611B01000006
[59: INFO: LoRa PHY  ] UART response:ok
[60: INFO: LoRa PHY  ] UART response:radio_tx_ok
[60: INFO: LoRa PHY  ] Write UART:radio set wdt 3000
[60: INFO: LoRa PHY  ] UART response:ok
[60: INFO: LoRa PHY  ] Write UART:radio rx 0
[60: INFO: LoRa PHY  ] UART response:ok
[63: INFO: LoRa PHY  ] UART response:radio_err
[64: INFO: LoRa MAC  ] retransmit timeout !
[64: ERR : LoRa MAC  ] STOP retransmit timer thanks to retransmit_timeout
[64: DBG : LoRa MAC  ] retransmit frame: {src:2:24859 dest:1:0 k:0 seq:0 next:0 cmd:6 data:
[64: ERR : LoRa MAC  ] RESTART retransmit timer because retransmit frame
[64: INFO: LoRa PHY  ] Write UART:radio set wdt 0
[64: INFO: LoRa PHY  ] UART response:ok
[64: INFO: LoRa PHY  ] Write UART:radio tx 02611B01000006
[64: INFO: LoRa PHY  ] UART response:ok
[65: INFO: LoRa PHY  ] UART response:radio_tx_ok
[65: INFO: LoRa PHY  ] Write UART:radio set wdt 3000
[65: INFO: LoRa PHY  ] UART response:ok
[65: INFO: LoRa PHY  ] Write UART:radio rx 0
[65: INFO: LoRa PHY  ] UART response:ok
